player_id,vs_hand,min,max,play,field,fatigue
2,r,443,467,rg+,2b,
2,r,468,489,hf,rf,
2,r,490,499,p,2b,
2,l,0,10,wild,,
2,l,11,67,error,,
2,l,68,82,l,2b,
2,l,83,97,park,,
2,l,,,1b,inf,
2,l,98,100,1b,gcf,
2,l,101,104,3b,rcf,
2,l,,,hg-,2b,
2,l,,,hg,ss,
2,l,,,hg,1b,
2,l,105,112,2b,rcf,
2,l,113,120,1b,llf,
2,l,121,128,1b,lrf,
2,l,129,138,rg,1b,
2,l,139,146,hf,rf,
2,l,147,160,hr,,
2,l,161,163,hb,,
2,l,164,231,bb,,
2,l,232,449,so,,
2,l,450,454,3b,cfw,
2,l,455,462,2b,rfl,
2,l,463,470,2b,rfw,
2,l,471,483,rg+,2b,
2,l,484,494,hf,cf,
2,l,495,499,p,2b,
3,r,0,10,wild,,
3,r,11,67,error,,
3,r,68,82,l,3b,
3,r,83,97,park,,
3,r,98,121,1b,inf,
3,r,122,134,1b,glf,
3,r,,,3b,lcf,
3,r,135,144,hg-,ss,
3,r,145,151,hg,3b,
3,r,152,155,hg,2b,
3,r,156,162,2b,lcf,
3,r,163,201,1b,llf,
3,r,202,214,1b,lrf,
3,r,215,255,rg,ss,
3,r,256,276,hf,lf,
3,r,277,302,hr,,
3,r,303,307,hb,,
3,r,,,bb,,
3,r,308,396,so,,
3,r,397,397,3b,cfw,
3,r,398,404,2b,lf,
3,r,405,412,2b,lfw,
3,r,413,461,rg+,3b,
3,r,462,488,hf,cf,
3,r,489,499,p,ss,
3,l,0,10,wild,,
3,l,11,67,error,,
3,l,68,82,l,3b,
3,l,83,97,park,,
3,l,98,114,1b,inf,
3,l,115,124,1b,glf,
3,l,,,3b,lcf,
3,l,125,165,hg-,ss,
3,l,166,193,hg,3b,
3,l,194,207,hg,2b,
3,l,208,216,2b,lcf,
3,l,217,246,1b,llf,
3,l,247,256,1b,lrf,
3,l,257,282,rg,ss,
3,l,283,291,hf,lf,
3,l,292,310,hr,,
3,l,311,315,hb,,
3,l,316,312,bb,,
3,l,313,433,so,,
3,l,,,3b,cfw,
3,l,434,442,2b,lf,
3,l,443,451,2b,lfw,
3,l,452,482,rg+,3b,
3,l,483,494,hf,cf,
3,l,495,499,p,ss,
4,r,0,10,wild,,
4,r,11,67,error,,
4,r,68,82,l,2b,
4,r,83,97,park,,
4,r,,,1b,inf,
4,r,98,105,1b,rcf,
4,r,,,3b,rcf,
4,r,106,118,hg-,2b,
4,r,119,126,hg,ss,
4,r,127,130,hg,1b,
4,r,131,137,2b,rcf,
4,r,138,153,1b,llf,
4,r,154,169,1b,lrf,
4,r,170,198,rg,1b,
4,r,199,224,hf,cf,
4,r,225,241,hr,,
4,r,242,242,hb,,
4,r,243,327,bb,,
4,r,328,403,so,,
4,r,,,3b,cfw,
4,r,404,409,2b,rfl,
4,r,410,416,2b,rfw,
4,r,417,452,rg+,2b,
4,r,453,485,hf,rfl,
4,r,486,499,p,2b,
4,l,0,10,wild,,
4,l,11,67,error,,
4,l,68,82,l,1b,
4,l,83,97,park,,
4,l,98,99,1b,inf,
4,l,100,103,1b,grf,
4,l,,,3b,rcf,
4,l,104,155,hg-,2b,
4,l,156,189,hg,1b,
4,l,190,206,hg,ss,
4,l,207,210,2b,rcf,
4,l,211,216,1b,llf,
4,l,217,222,1b,lrf,
4,l,223,256,rg,2b,
4,l,257,275,hf,rf,
4,l,276,291,hr,,
4,l,,,hb,,
4,l,292,319,bb,,
4,l,320,415,so,,
4,l,,,3b,cfw,
4,l,416,419,2b,rfl,
4,l,420,423,2b,rfw,
4,l,424,464,rg+,1b,
4,l,465,488,hf,cf,
4,l,489,499,p,2b,
5,r,0,10,wild,,
5,r,11,67,error,,
5,r,68,82,l,ss,
5,r,83,97,park,,
5,r,98,98,1b,inf,
5,r,99,123,1b,gcf,
5,r,124,126,3b,rcf,
5,r,127,184,hg-,ss,
5,r,185,222,hg,2b,
5,r,223,241,hg,3b,
5,r,242,246,2b,rc,
5,r,247,296,1b,llf,
5,r,297,346,1b,lrf,
5,r,347,364,rg,3b,
5,r,365,369,hf,cf,
5,r,370,381,hr,,
5,r,382,389,hb,,
5,r,,,bb,,
5,r,390,456,so,,
5,r,457,460,3b,cfw,
5,r,461,464,2b,rfl,
5,r,465,469,2b,rfw,
5,r,470,490,rg+,ss,
5,r,491,496,hf,rf,
5,r,497,499,p,ss,
5,l,0,10,wild,,
5,l,11,67,error,,
5,l,68,82,l,3b,
5,l,83,97,park,,
5,l,98,99,1b,inf,
5,l,100,117,1b,glf,
5,l,118,120,3b,rcf,
5,l,121,149,hg-,ss,
5,l,150,168,hg,3b,
5,l,169,178,hg,2b,
5,l,179,187,2b,rc,
5,l,188,223,1b,llf,
5,l,224,259,1b,lrf,
5,l,260,296,rg,ss,
5,l,297,308,hf,cf,
5,l,309,321,hr,,
5,l,322,322,hb,,
5,l,323,330,bb,,
5,l,331,410,so,,
5,l,411,414,3b,cfw,
5,l,415,423,2b,rfl,
5,l,424,433,2b,rfw,
5,l,434,478,rg+,3b,
5,l,479,493,hf,rf,
5,l,494,499,p,ss,
6,r,0,10,wild,,
6,r,11,67,error,,
6,r,68,82,l,3b,
6,r,83,97,park,,
6,r,,,1b,inf,
6,r,98,108,1b,glf,
6,r,109,109,3b,lcf,
6,r,110,144,hg-,ss,
6,r,145,168,hg,3b,
6,r,169,180,hg,2b,
6,r,181,189,2b,lcf,
6,r,190,221,1b,llf,
6,r,222,232,1b,lrf,
6,r,233,241,rg,ss,
6,r,242,250,hf,lf,
6,r,251,272,hr,,
6,r,,,hb,,
6,r,273,320,bb,,
6,r,321,451,so,,
6,r,452,453,3b,cfw,
6,r,454,461,2b,lfl,
6,r,462,470,2b,lfw,
6,r,471,482,rg+,3b,
6,r,483,494,hf,cf,
6,r,495,499,p,ss,
6,l,0,10,wild,,
6,l,11,67,error,,
6,l,68,82,l,3b,
6,l,83,97,park,,
6,l,,,1b,inf,
6,l,98,107,1b,glf,
6,l,,,3b,lcf,
6,l,108,133,hg-,ss,
6,l,134,151,hg,3b,
6,l,152,160,hg,2b,
6,l,161,175,2b,lcf,
6,l,176,205,1b,llf,
6,l,206,215,1b,lrf,
6,l,216,225,rg,ss,
6,l,226,232,hf,lf,
6,l,233,260,hr,,
6,l,,,hb,,
6,l,261,316,bb,,
6,l,317,445,so,,
6,l,,,3b,cfw,
6,l,446,459,2b,lfl,
6,l,460,474,2b,lfw,
6,l,475,486,rg+,3b,
6,l,487,495,hf,cf,
6,l,496,499,p,ss,
7,r,0,10,wild,,
7,r,11,67,error,,
7,r,68,82,l,2b,
7,r,83,97,park,,
7,r,98,112,1b,inf,
7,r,113,130,1b,gcf,
7,r,,,3b,rcf,
7,r,131,147,hg-,2b,
7,r,148,159,hg,ss,
7,r,160,165,hg,1b,
7,r,,,2b,rcf,
7,r,166,183,1b,llf,
7,r,184,237,1b,lrf,
7,r,238,278,rg,1b,
7,r,279,300,hf,rf,
7,r,301,323,hr,,
7,r,324,327,hb,,
7,r,328,361,bb,,
7,r,362,407,so,,
7,r,,,3b,cfw,
7,r,,,2b,rfl,
7,r,408,408,2b,rfw,
7,r,409,458,rg+,2b,
7,r,459,486,hf,cf,
7,r,487,499,p,2b,
7,l,0,10,wild,,
7,l,11,67,error,,
7,l,68,82,l,3b,
7,l,83,97,park,,
7,l,98,114,1b,inf,
7,l,115,133,1b,glf,
7,l,,,3b,lcf,
7,l,134,174,hg-,ss,
7,l,175,202,hg,3b,
7,l,203,216,hg,2b,
7,l,,,2b,lcf,
7,l,217,271,1b,llf,
7,l,272,289,1b,lrf,
7,l,290,319,rg,ss,
7,l,320,335,hf,cf,
7,l,336,371,hr,,
7,l,,,hb,,
7,l,372,423,bb,,
7,l,424,432,so,,
7,l,,,3b,cfw,
7,l,,,2b,lfl,
7,l,,,2b,lfw,
7,l,433,469,rg+,3b,
7,l,470,490,hf,lf,
7,l,491,499,p,ss,
8,r,0,10,wild,,
8,r,11,67,error,,
8,r,68,82,l,2b,
8,r,83,97,park,,
8,r,98,112,1b,inf,
8,r,113,135,1b,gcf,
8,r,,,3b,rcf,
8,r,136,153,hg-,2b,
8,r,154,165,hg,ss,
8,r,166,171,hg,1b,
8,r,172,175,2b,rcf,
8,r,176,198,1b,llf,
8,r,199,266,1b,lrf,
8,r,267,313,rg,1b,
8,r,314,337,hf,rf,
8,r,338,344,hr,,
8,r,,,hb,,
8,r,345,382,bb,,
8,r,383,391,so,,
8,r,,,3b,cfw,
8,r,392,394,2b,rfl,
8,r,395,398,2b,rfw,
8,r,399,455,rg+,2b,
8,r,456,486,hf,cf,
8,r,487,499,p,2b,
8,l,0,10,wild,,
8,l,11,67,error,,
8,l,68,82,l,3b,
8,l,83,97,park,,
8,l,98,104,1b,inf,
8,l,105,122,1b,glf,
8,l,,,3b,lcf,
8,l,123,159,hg-,ss,
8,l,160,183,hg,3b,
8,l,184,195,hg,2b,
8,l,196,200,2b,lc,
8,l,201,252,1b,llf,
8,l,253,269,1b,lrf,
8,l,270,311,rg,ss,
8,l,312,329,hf,cf,
8,l,330,342,hr,,
8,l,,,hb,,
8,l,343,370,bb,,
8,l,371,404,so,,
8,l,,,3b,cfw,
8,l,405,409,2b,lfl,
8,l,410,414,2b,lfw,
8,l,415,466,rg+,3b,
8,l,467,489,hf,lf,
8,l,490,499,p,ss,
9,r,500,514,park,,
9,r,515,539,wp_pb,,
9,r,540,568,ofr,,
9,r,569,617,ifr,,
9,r,,,hb,,
9,r,618,638,sg,ss,
9,r,639,671,hf,cf,
9,r,,,1b,inf,
9,r,672,681,1b,lcf,
9,r,682,706,hf,rf,
9,r,707,727,sg,2b,
9,r,728,752,hf,lf,
9,r,753,780,sg,3b,
9,r,781,789,1b,gcf,
9,r,790,802,2b,lcf,
9,r,790,817,2b_f,,
9,r,803,851,df,,
9,r,818,891,df_f,,
9,r,852,863,so,,
9,r,892,952,so_f,,
9,r,964,980,bb,,
9,r,953,989,bb_f,,
9,r,981,999,hg,ss,
9,r,990,999,hg_f,ss,
9,l,500,514,park,,
9,l,515,539,wp_pb,,
9,l,540,560,ofr,,
9,l,561,611,ifr,,
9,l,,,hb,,
9,l,612,632,sg,2b,
9,l,633,650,hf,cf,
9,l,651,651,1b,inf,
9,l,652,666,1b,lcf,
9,l,667,679,hf,rf,
9,l,680,700,sg,ss,
9,l,701,713,hf,lf,
9,l,714,741,sg,1b,
9,l,742,756,1b,gcf,
9,l,,,2b,rcf,
9,l,757,771,2b_f,,
9,l,757,794,df,,
9,l,772,834,df_f,,
9,l,795,941,so,,
9,l,835,935,so_f,,
9,l,942,956,bb,,
9,l,936,970,bb_f,,
9,l,957,999,hg,2b,
9,l,971,999,hg_f,2b,
10,r,0,514,park,,
10,r,515,539,wp_pb,,
10,r,540,562,ofr,,
10,r,563,614,ifr,,
10,r,615,0,hb,,
10,r,1,634,sg,ss,
10,r,635,663,hf,cf,
10,r,664,671,1b,inf,
10,r,672,697,1b,lcf,
10,r,698,719,hf,rf,
10,r,720,739,sg,2b,
10,r,740,761,hf,lf,
10,r,762,789,sg,3b,
10,r,790,814,1b,gcf,
10,r,,,2b,lcf,
10,r,815,829,2b_f,,
10,r,815,833,df,,
10,r,830,873,df_f,,
10,r,834,956,so,,
10,r,874,952,so_f,,
10,r,,,bb,,
10,r,953,972,bb_f,,
10,r,957,999,hg,ss,
10,r,973,999,hg_f,ss,
10,l,500,514,park,,
10,l,515,539,wp_pb,,
10,l,540,560,ofr,,
10,l,561,615,ifr,,
10,l,,,hb,,
10,l,616,646,sg,2b,
10,l,647,670,hf,cf,
10,l,671,678,1b,inf,
10,l,679,703,1b,lcf,
10,l,704,721,hf,rf,
10,l,722,752,sg,ss,
10,l,753,770,hf,lf,
10,l,771,810,sg,1b,
10,l,811,834,1b,gcf,
10,l,,,2b,rcf,
10,l,835,849,2b_f,,
10,l,835,862,df,,
10,l,850,902,df_f,,
10,l,863,983,so,2b,
10,l,903,970,so_f,,
10,l,,,bb,,
10,l,971,990,bb_f,,
10,l,984,999,hg,2b,
10,l,991,999,hg_f,2b,
11,r,500,514,park,,
11,r,515,539,wp_pb,,
11,r,540,568,ofr,,
11,r,569,614,ifr,,
11,r,,,hb,,
11,r,615,631,sg,ss,
11,r,632,660,hf,cf,
11,r,,,1b,inf,
11,r,661,680,1b,lcf,
11,r,681,701,hf,rf,
11,r,702,718,sg,2b,
11,r,719,739,hf,lf,
11,r,740,760,sg,3b,
11,r,761,779,1b,gcf,
11,r,,,2b,lcf,
11,r,780,794,2b_f,,
11,r,780,803,df,,
11,r,795,843,df_f,,
11,r,804,978,so,,
11,r,844,958,so_f,,
11,r,979,999,bb,,
11,r,959,999,bb_f,,
11,r,,,hg,ss,
11,r,,,hg_f,ss,
11,l,500,514,park,,
11,l,515,539,wp_pb,,
11,l,540,564,ofr,,
11,l,565,605,ifr,,
11,l,606,608,hb,,
11,l,609,618,sg,2b,
11,l,619,637,hf,cf,
11,l,,,1b,inf,
11,l,638,654,1b,lcf,
11,l,655,668,hf,rf,
11,l,669,678,sg,ss,
11,l,679,692,hf,lf,
11,l,693,706,sg,1b,
11,l,707,722,1b,gcf,
11,l,,,2b,rcf,
11,l,723,737,2b_f,,
11,l,723,756,df,,
11,l,738,796,df_f,,
11,l,757,959,so,,
11,l,797,946,so_f,,
11,l,960,971,bb,,
11,l,947,978,bb_f,,
11,l,972,999,hg,2b,
11,l,979,999,hg_f,2b,
